fixture_id,date,player,action,match_day,Player,Team,DOB,Zodiac,Element,Ruling Planet
1208022,2024-08-17T11:30:00+00:00,Mohamed Salah,assist,2024-08-17,Mohamed Salah,Liverpool,15-06-1992,Gemini,Air,Mercury
1208022,2024-08-17T11:30:00+00:00,Mohamed Salah,goal,2024-08-17,Mohamed Salah,Liverpool,15-06-1992,Gemini,Air,Mercury
1208040,2024-08-25T13:00:00+00:00,Matheus Cunha,goal,2024-08-25,Matheus Cunha,Man United,27-05-1999,Gemini,Air,Mercury
1208036,2024-08-25T15:30:00+00:00,Mohamed Salah,goal,2024-08-25,Mohamed Salah,Liverpool,15-06-1992,Gemini,Air,Mercury
