player_id,birth_date,zodiac,dob_source,dob_verified
283290,2001-11-22,Sagittarius,Wikidata:Q110086287,False
284230,2004-11-21,Scorpio,Wikidata:Q113509374,False
284322,2005-04-19,Aries,Wikidata:Q114703020,False
284324,2004-07-01,Cancer,Wikidata:Q111366053,False
284400,2004-01-03,Capricorn,Wikidata:Q121437419,False
284409,,,,False
284428,2003-10-29,Scorpio,Wikidata:Q111145131,False
284457,2004-01-05,Capricorn,Wikidata:Q104737263,False
284492,2004-09-08,Virgo,Wikidata:Q110487162,False
284500,2003-06-30,Cancer,Wikidata:Q111027477,False
284523,2004-01-06,Capricorn,Wikidata:Q101627158,False
284797,2002-02-11,Aquarius,Wikidata:Q108000402,False
286458,2003-10-11,Libra,Wikidata:Q122089959,False
286616,2002-04-16,Aries,Wikidata:Q108776426,False
288006,2003-02-04,Aquarius,Wikidata:Q66467324,False
288102,2004-02-06,Aquarius,Wikidata:Q113488911,False
288116,2004-10-28,Scorpio,Wikidata:Q115048295,False
288118,,,,False
296458,2003-08-13,Leo,Wikidata:Q106766809,False
297640,,,,False
297641,2004-09-06,Virgo,Wikidata:Q129256414,False
299813,2002-03-01,Pisces,Wikidata:Q80661874,False
301295,2004-10-07,Libra,Wikidata:Q113586426,False
301771,2002-01-01,Capricorn,Wikidata:Q107742783,False
303467,2004-03-08,Pisces,Wikidata:Q105812639,False
304316,,,,False
304317,2006-03-12,Pisces,Wikidata:Q115973966,False
304853,,,,False
305730,2005-04-11,Aries,Wikidata:Q118791841,False
307123,2005-03-21,Aries,Wikidata:Q118645253,False
311334,2004-12-23,Capricorn,Wikidata:Q113028093,False
311817,,,,False
312260,2006-01-19,Capricorn,Wikidata:Q118870489,False
313236,2007-03-21,Aries,Wikidata:Q114027518,False
313245,2006-09-26,Libra,Wikidata:Q118571844,False
315237,2003-08-04,Leo,Wikidata:Q111464601,False
318056,,,,False
319572,2004-07-23,Leo,Wikidata:Q107542811,False
322305,,,,False
327730,,,,False
327733,,,,False
328089,,,,False
328105,2006-05-01,Taurus,Wikidata:Q118780753,False
328225,2004-05-31,Gemini,Wikidata:Q116432094,False
330412,,,,False
334035,2006-07-18,Cancer,Wikidata:Q118869958,False
334037,,,,False
336564,2004-11-28,Sagittarius,Wikidata:Q113464781,False
336585,,,,False
336671,2003-07-29,Leo,Wikidata:Q116700351,False
340135,2005-01-14,Capricorn,Wikidata:Q121463467,False
340136,,,,False
340573,2004-05-10,Taurus,Wikidata:Q105955374,False
342243,2006-03-13,Pisces,Wikidata:Q123512560,False
342320,2005-12-16,Sagittarius,Wikidata:Q119719443,False
342970,2005-11-13,Scorpio,Wikidata:Q112039295,False
343209,,,,False
347316,2006-02-02,Aquarius,Wikidata:Q115371638,False
350625,2006-06-28,Cancer,Wikidata:Q121307507,False
356041,2004-01-03,Capricorn,Wikidata:Q113472432,False
356237,,,,False
359386,,,,False
361497,2005-04-14,Aries,Wikidata:Q112184628,False
361679,,,,False
362270,2006-01-20,Aquarius,Wikidata:Q125585047,False
363695,2002-07-04,Cancer,API-Football-ID,True
363974,,,,False
366735,,,,False
367634,2005-09-27,Libra,Wikidata:Q130608565,False
379618,,,,False
380492,2006-05-03,Taurus,Wikidata:Q118611497,False
380679,2006-07-15,Cancer,Wikidata:Q131109014,False
380689,,,,False
380690,2007-08-11,Leo,Wikidata:Q119700600,False
380696,2006-07-26,Leo,Wikidata:Q130668046,False
380697,2005-10-04,Libra,Wikidata:Q130305495,False
380715,,,,False
382170,,,,False
382355,,,,False
382925,2003-03-12,Pisces,Wikidata:Q113586549,False
383685,2004-07-22,Cancer,Wikidata:Q115399505,False
383770,,,,False
384981,,,,False
388510,2005-09-24,Libra,Wikidata:Q130316133,False
388777,,,,False
389031,,,,False
389302,,,,False
389306,2004-09-06,Virgo,Wikidata:Q129689290,False
389315,,,,False
392270,2006-01-04,Capricorn,Wikidata:Q118472572,False
392607,,,,False
393195,2005-04-20,Taurus,Wikidata:Q123001113,False
397997,,,,False
402329,2006-09-22,Virgo,Wikidata:Q130319703,False
402432,,,,False
403064,2007-03-16,Pisces,Wikidata:Q119971486,False
404574,,,,False
404656,2005-11-04,Scorpio,Wikidata:Q130740691,False
405360,2007-01-19,Capricorn,Wikidata:Q129702132,False
405530,,,,False
407032,,,,False
407033,2005-12-10,Sagittarius,Wikidata:Q130304859,False
430734,,,,False
440159,,,,False
449245,2006-07-01,Cancer,Wikidata:Q125548367,False
459203,,,,False
465310,,,,False
