player_id,player_name,status,wikidata_id,wikidata_label,birth_date,candidate_count,qid,candidate_label,similarity
342970,Leny Yoro,matched,,,2005-11-13,,Q112039295,Leny Yoro,100.0
343209,Ruairi McConville,matched,,,2005-05-01,,Q130942212,Ruairi McConville,100.0
347316,Lucas Bergvall,matched,Q115371638,Lucas Bergvall,2006-02-02,1.0,,,
350625,Jayden Meghoma,matched,Q121307507,Jayden Meghoma,2006-06-28,1.0,,,
356041,Carlos Baleba,matched,Q113472432,Carlos Baleba,2004-01-03,1.0,,,
356237,Kim Ji-Soo,no_confident_football_candidate,,,,,,,
359386,Martial Godo,matched,,,2003-03-14,,Q113586419,Martial Godo,100.0
361497,Dean Huijsen,matched,Q112184628,Dean Huijsen,2005-04-14,1.0,,,
361679,Callum Bates,no_confident_football_candidate,,,,,,,
362270,Ethan Wheatley,matched,Q125585047,Ethan Wheatley,2006-01-20,1.0,,,
363695,Murillo,no_confident_football_candidate,,,,0.0,,,
363974,Zach Marsh,no_confident_football_candidate,,,,,,,
366735,Josh Acheampong,matched,,,2006-05-05,,Q123411792,Josh Acheampong,100.0
367634,Asher Agbinone,matched,Q130608565,Asher Agbinone,2005-09-27,1.0,,,
379618,Jacob Slater,matched,,,2004-10-05,,Q136357983,Jacob Slater,100.0
380492,Eric da Silva Moreira,matched,Q118611497,Eric da Silva Moreira,2006-05-03,1.0,,,
380679,Caleb Kporha,matched,Q131109014,Caleb Kporha,2006-07-15,1.0,,,
380689,Callum Olusesi,matched,,,2007-03-11,,Q131573499,Callum Olusesi,100.0
380690,Mikey Moore,matched,Q119700600,Mikey Moore,2007-08-11,1.0,,,
380696,Josh Nichols,matched,Q130668046,Josh Nichols,2006-07-26,1.0,,,
380697,Maldini Kacurri,matched,Q130305495,Maldini Kacurri,2005-10-04,1.0,,,
380715,Ben Broggio,matched,,,2007-01-29,,Q130360133,Ben Broggio,100.0
382170,Maxwell Kinsey-Wellings,no_confident_football_candidate,,,,,,,
382355,Jacob Wright,ambiguous_candidates,,,,,,,
382925,Ryan Trevitt,matched,Q113586549,Ryan Trevitt,2003-03-12,1.0,,,
383685,Yankuba Minteh,matched,Q115399505,Yankuba Minteh,2004-07-22,1.0,,,
383770,Jack Fletcher,ambiguous_candidates,,,,,,,
384981,Samuel Amissah,matched,,,2007-03-07,,Q138842781,Samuel Amissah,100.0
388510,Tony Yogane,matched,Q130316133,Tony Yogane,2005-09-24,1.0,,,
388777,Bastien Meupiyou,matched,,,2006-03-19,,Q118876868,Bastien Meupiyou,100.0
389031,Jayce Fitzgerald,no_birth_date,,,,,Q130740692,Jayce Fitzgerald,100.0
389302,Tom Edozie,matched,,,2006-05-18,,Q138510273,Tom Edozie,100.0
389306,Roman Dixon,matched,Q129689290,Roman Dixon,2004-09-06,1.0,,,
389315,Joshua King,ambiguous_candidates,,,,,,,
392270,Marc Guiu,matched,Q118472572,Marc Guiu Paz,2006-01-04,1.0,,,
392607,Maeson King,no_confident_football_candidate,,,,,,,
393195,Will Lankshear,matched,Q123001113,Will Lankshear,2005-04-20,1.0,,,
397997,Trey Nyoni,matched,,,2007-06-30,,Q123367931,Trey Nyoni,100.0
402329,Ayden Heaven,matched,Q130319703,Ayden Heaven,2006-09-22,1.0,,,
402432,Ben Winterburn,matched,,,2004-09-04,,Q131593074,Ben Winterburn,100.0
403064,Harry Amass,matched,Q119971486,Harry Amass,2007-03-16,1.0,,,
404574,Luis Guilherme,ambiguous_candidates,,,,,,,
404656,Jahmai Simpson-Pusey,matched,Q130740691,Jahmai Simpson-Pusey,2005-11-04,1.0,,,
405360,Harrison Armstrong,matched,Q129702132,Harrison Armstrong,2007-01-19,1.0,,,
405530,Ezra Mayers,matched,,,2007-01-16,,Q137272443,Ezra Mayers,100.0
407032,Amara Nallo,matched,,,2006-11-18,,Q124691152,Amara Nallo,100.0
407033,Ismeal Kabia,matched,Q130304859,Ismeal Kabia,2005-12-10,1.0,,,
430734,Yunus Konak,matched,,,2006-01-10,,Q122972260,Yunus Emre Konak,94.0
440159,Godwill Kukonki,matched,,,2008-02-06,,Q131395534,Godwill Kukonki,100.0
449245,Pedro Lima,matched,Q125548367,Pedro Lima,2006-07-01,1.0,,,
459203,Malachi Hardy,matched,,,2008-03-10,,Q131861649,Malachi Hardy,100.0
465310,Luca Williams-Barnett,matched,,,2008-10-01,,Q133455007,Luca Williams-Barnett,100.0
