player_id,player_name,teams,positions,first_seen,last_seen,appearances,starts,birth_date,zodiac,dob_source,dob_verified
282126,Carlos Borges,Wolves,F | M,2024-09-15 15:30:00+00:00,2024-11-02 17:30:00+00:00,5,1,,,,False
10373,Carlos Miguel,Nottingham Forest,G,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,0,0,,,,False
930,Carlos Soler,West Ham,M,2024-09-14 14:00:00+00:00,2024-11-02 15:00:00+00:00,7,1,,,,False
747,Casemiro,Manchester United,M,2024-08-16 19:00:00+00:00,2024-10-27 13:00:00+00:00,8,5,,,,False
270507,Cesare Casadei,Chelsea,M,2024-09-01 12:30:00+00:00,2024-09-14 19:00:00+00:00,0,0,,,,False
278898,Chadi Riad,Crystal Palace,D,2024-08-18 13:00:00+00:00,2024-08-24 14:00:00+00:00,1,1,,,,False
18918,Charlie Taylor,Southampton,D,2024-08-17 14:00:00+00:00,2024-10-19 14:00:00+00:00,5,2,,,,False
3339,Cheick Doucouré,Crystal Palace,M,2024-08-18 13:00:00+00:00,2024-11-02 17:30:00+00:00,4,1,,,,False
19365,Chiedozie Ogbene,Ipswich,F | M,2024-08-31 14:00:00+00:00,2024-10-26 14:00:00+00:00,5,3,,,,False
195962,Chiquinho,Wolves,F,2024-08-17 14:00:00+00:00,2024-08-17 14:00:00+00:00,1,0,,,,False
126949,Chris Richards,Crystal Palace,D,2024-08-18 13:00:00+00:00,2024-09-21 16:30:00+00:00,4,4,,,,False
18931,Chris Wood,Nottingham Forest,F,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
174,Christian Eriksen,Manchester United,M,2024-08-16 19:00:00+00:00,2024-10-27 13:00:00+00:00,7,5,,,,False
30407,Christian Nørgaard,Brentford,M,2024-08-18 13:00:00+00:00,2024-10-26 14:00:00+00:00,7,7,,,,False
19541,Christian Walton,Ipswich,G,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,1,1,,,,False
269,Christopher Nkunku,Chelsea,F | M,2024-08-18 15:30:00+00:00,2024-10-27 13:00:00+00:00,9,1,,,,False
158702,Cieran Slicker,Ipswich,G,2024-08-17 11:30:00+00:00,2024-10-26 14:00:00+00:00,0,0,,,,False
247,Cody Gakpo,Liverpool,F | M,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,10,3,,,,False
152982,Cole Palmer,Chelsea,M,2024-08-18 15:30:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
180317,Conor Bradley,Liverpool,D,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,5,0,,,,False
20007,Conor Chaplin,Ipswich,F | M,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,9,3,,,,False
18741,Conor Coady,Leicester,D,2024-09-14 14:00:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
19152,Conor Townsend,Ipswich,D,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,1,0,,,,False
19147,Craig Dawson,Wolves,D,2024-08-17 14:00:00+00:00,2024-11-02 17:30:00+00:00,9,7,,,,False
30776,Cristian Romero,Tottenham,D,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
37724,Crysencio Summerville,West Ham,F,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,9,2,,,,False
293,Curtis Jones,Liverpool,M,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,7,3,,,,False
2601,Daichi Kamada,Crystal Palace,F | M,2024-08-18 13:00:00+00:00,2024-11-02 17:30:00+00:00,10,6,,,,False
18961,Dan Burn,Newcastle,D,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,10,10,,,,False
284797,Dango Ouattara,Bournemouth,F | M,2024-08-17 14:00:00+00:00,2024-10-26 14:00:00+00:00,8,4,,,,False
19341,Daniel Bentley,Wolves,G,2024-08-17 14:00:00+00:00,2024-11-02 17:30:00+00:00,0,0,,,,False
17736,Daniel Iversen,Leicester,G,2024-08-31 14:00:00+00:00,2024-08-31 14:00:00+00:00,0,0,,,,False
296458,Daniel Jebbison,Bournemouth,F,2024-08-17 14:00:00+00:00,2024-08-25 13:00:00+00:00,2,0,,,,False
13736,Daniel Muñoz,Crystal Palace,M,2024-08-18 13:00:00+00:00,2024-11-02 17:30:00+00:00,10,10,,,,False
