player,goals,assists,rating,minutes,match_id,date,performed,surname,Unnamed: 9,moon_sign
james trafford,0,0,7.5,90,1035037,2023-08-11,1,trafford,,Gemini
connor roberts,0,0,6.5,90,1035037,2023-08-11,0,roberts,,Gemini
ameen al-dakhil,0,0,6.3,90,1035037,2023-08-11,0,al-dakhil,,Gemini
dara o'shea,0,0,6.5,90,1035037,2023-08-11,0,o'shea,,Gemini
jordan beyer,0,0,6.9,74,1035037,2023-08-11,0,beyer,,Gemini
vitinho,0,0,6.2,90,1035037,2023-08-11,0,vitinho,,Gemini
luca koleosho,0,0,6.5,61,1035037,2023-08-11,0,koleosho,,Gemini
sander berge,0,0,6.5,89,1035037,2023-08-11,0,berge,,Gemini
josh cullen,0,0,6.3,90,1035037,2023-08-11,0,cullen,,Gemini
lyle foster,0,0,6.5,89,1035037,2023-08-11,0,foster,,Gemini
zeki amdouni,0,0,6.9,61,1035037,2023-08-11,0,amdouni,,Gemini
anass zaroury,0,0,6.3,33,1035037,2023-08-11,0,zaroury,,Gemini
jacob bruun larsen,0,0,6.6,29,1035037,2023-08-11,0,larsen,,Gemini
manuel benson,0,0,5.9,16,1035037,2023-08-11,0,benson,,Gemini
josh brownhill,0,0,6.3,8,1035037,2023-08-11,0,brownhill,,Gemini
nathan redmond,0,0,6.3,8,1035037,2023-08-11,0,redmond,,Gemini
arijanet murić,0,0,0.0,0,1035037,2023-08-11,0,murić,,Gemini
hjalmar ekdal,0,0,0.0,0,1035037,2023-08-11,0,ekdal,,Gemini
jack cork,0,0,0.0,0,1035037,2023-08-11,0,cork,,Gemini
jóhann guðmundsson,0,0,0.0,0,1035037,2023-08-11,0,guðmundsson,,Gemini
ederson,0,0,7.5,90,1035037,2023-08-11,1,ederson,,Gemini
kyle walker,0,0,6.9,89,1035037,2023-08-11,0,walker,,Gemini
manuel akanji,0,0,7.2,90,1035037,2023-08-11,1,akanji,,Gemini
nathan aké,0,0,7.5,79,1035037,2023-08-11,1,aké,,Gemini
rico lewis,0,0,6.7,79,1035037,2023-08-11,0,lewis,,Gemini
kevin de bruyne,0,0,6.9,23,1035037,2023-08-11,0,bruyne,,Gemini
rodri,1,1,9.3,90,1035037,2023-08-11,1,rodri,,Gemini
bernardo silva,0,0,6.6,90,1035037,2023-08-11,0,silva,,Gemini
julián álvarez,0,1,8.2,90,1035037,2023-08-11,1,álvarez,,Gemini
phil foden,0,0,6.9,90,1035037,2023-08-11,0,foden,,Gemini
erling haaland,2,0,8.6,80,1035037,2023-08-11,1,haaland,,Gemini
mateo kovačić,0,0,7.7,67,1035037,2023-08-11,1,kovačić,,Gemini
joško gvardiol,0,0,7.0,11,1035037,2023-08-11,1,gvardiol,,Gemini
aymeric laporte,0,0,7.0,11,1035037,2023-08-11,1,laporte,,Gemini
cole palmer,0,0,6.3,10,1035037,2023-08-11,0,palmer,,Gemini
james mcatee,0,0,0.0,1,1035037,2023-08-11,0,mcatee,,Gemini
stefan ortega,0,0,0.0,0,1035037,2023-08-11,0,ortega,,Gemini
kalvin phillips,0,0,0.0,0,1035037,2023-08-11,0,phillips,,Gemini
sergio gómez,0,0,0.0,0,1035037,2023-08-11,0,gómez,,Gemini
jack grealish,0,0,0.0,0,1035037,2023-08-11,0,grealish,,Gemini
aaron ramsdale,0,0,6.7,90,1035038,2023-08-12,0,ramsdale,,Cancer
thomas partey,0,0,7.3,90,1035038,2023-08-12,1,partey,,Cancer
benjamin white,0,0,6.6,90,1035038,2023-08-12,0,white,,Cancer
william saliba,0,1,7.3,90,1035038,2023-08-12,1,saliba,,Cancer
jurriën timber,0,0,6.6,50,1035038,2023-08-12,0,timber,,Cancer
martin ødegaard,0,0,7.2,90,1035038,2023-08-12,1,ødegaard,,Cancer
declan rice,0,0,7.3,90,1035038,2023-08-12,1,rice,,Cancer
kai havertz,0,0,7.3,90,1035038,2023-08-12,1,havertz,,Cancer
bukayo saka,1,0,8.3,90,1035038,2023-08-12,1,saka,,Cancer
edward nketiah,1,0,7.3,73,1035038,2023-08-12,1,nketiah,,Cancer
gabriel martinelli,0,1,7.2,86,1035038,2023-08-12,1,martinelli,,Cancer
takehiro tomiyasu,0,0,6.9,40,1035038,2023-08-12,0,tomiyasu,,Cancer
leandro trossard,0,0,6.9,17,1035038,2023-08-12,0,trossard,,Cancer
gabriel magalhães,0,0,6.3,13,1035038,2023-08-12,0,magalhães,,Cancer
karl hein,0,0,0.0,0,1035038,2023-08-12,0,hein,,Cancer
jakub kiwior,0,0,0.0,0,1035038,2023-08-12,0,kiwior,,Cancer
emile smith rowe,0,0,0.0,0,1035038,2023-08-12,0,rowe,,Cancer
fábio vieira,0,0,0.0,0,1035038,2023-08-12,0,vieira,,Cancer
jorginho,0,0,0.0,0,1035038,2023-08-12,0,jorginho,,Cancer
reiss nelson,0,0,0.0,0,1035038,2023-08-12,0,nelson,,Cancer
matt turner,0,0,7.3,90,1035038,2023-08-12,1,turner,,Cancer
willy boly,0,0,7.0,90,1035038,2023-08-12,1,boly,,Cancer
joe worrall,0,0,6.6,89,1035038,2023-08-12,0,worrall,,Cancer
scott mckenna,0,0,6.3,90,1035038,2023-08-12,0,mckenna,,Cancer
serge aurier,0,0,6.7,90,1035038,2023-08-12,0,aurier,,Cancer
ryan yates,0,0,6.3,90,1035038,2023-08-12,0,yates,,Cancer
orel mangala,0,0,6.3,89,1035038,2023-08-12,0,mangala,,Cancer
ola aina,0,0,6.9,72,1035038,2023-08-12,0,aina,,Cancer
danilo,0,0,6.9,71,1035038,2023-08-12,0,danilo,,Cancer
brennan johnson,0,0,6.3,80,1035038,2023-08-12,0,johnson,,Cancer
morgan gibbs-white,0,0,6.9,90,1035038,2023-08-12,0,gibbs-white,,Cancer
taiwo awoniyi,1,0,7.3,19,1035038,2023-08-12,1,awoniyi,,Cancer
neco williams,0,0,6.6,18,1035038,2023-08-12,0,williams,,Cancer
anthony elanga,0,1,7.5,10,1035038,2023-08-12,1,elanga,,Cancer
cheikhou kouyaté,0,0,6.6,9,1035038,2023-08-12,0,kouyaté,,Cancer
chris wood,0,0,6.3,9,1035038,2023-08-12,0,wood,,Cancer
ethan horvath,0,0,0.0,0,1035038,2023-08-12,0,horvath,,Cancer
moussa niakhaté,0,0,0.0,0,1035038,2023-08-12,0,niakhaté,,Cancer
lewis o'brien,0,0,0.0,0,1035038,2023-08-12,0,o'brien,,Cancer
remo freuler,0,0,0.0,0,1035038,2023-08-12,0,freuler,,Cancer
neto,0,0,6.5,90,1035039,2023-08-12,0,neto,,Cancer
max aarons,0,0,6.9,75,1035039,2023-08-12,0,aarons,,Cancer
illia zabarnyi,0,0,6.3,90,1035039,2023-08-12,0,zabarnyi,,Cancer
marcos senesi,0,0,6.6,60,1035039,2023-08-12,0,senesi,,Cancer
miloš kerkez,0,0,6.9,90,1035039,2023-08-12,0,kerkez,,Cancer
philip billing,0,0,7.7,90,1035039,2023-08-12,1,billing,,Cancer
joe rothwell,0,0,7.2,90,1035039,2023-08-12,1,rothwell,,Cancer
david brooks,0,0,6.6,75,1035039,2023-08-12,0,brooks,,Cancer
ryan christie,0,0,7.2,67,1035039,2023-08-12,1,christie,,Cancer
jaidon anthony,0,0,6.5,60,1035039,2023-08-12,0,anthony,,Cancer
dominic solanke,1,0,7.5,90,1035039,2023-08-12,1,solanke,,Cancer
chris mepham,0,0,6.7,30,1035039,2023-08-12,0,mepham,,Cancer
justin kluivert,0,0,6.3,30,1035039,2023-08-12,0,kluivert,,Cancer
kieffer moore,0,0,6.7,23,1035039,2023-08-12,0,moore,,Cancer
james hill,0,0,6.7,15,1035039,2023-08-12,0,hill,,Cancer
antoine semenyo,0,0,6.9,15,1035039,2023-08-12,0,semenyo,,Cancer
ionuț radu,0,0,0.0,0,1035039,2023-08-12,0,radu,,Cancer
ben greenwood,0,0,0.0,0,1035039,2023-08-12,0,greenwood,,Cancer
gavin kilkenny,0,0,0.0,0,1035039,2023-08-12,0,kilkenny,,Cancer
hamed junior traorè,0,0,0.0,0,1035039,2023-08-12,0,traorè,,Cancer
alphonse aréola,0,0,7.2,90,1035039,2023-08-12,1,aréola,,Cancer
vladimír coufal,0,0,6.6,90,1035039,2023-08-12,0,coufal,,Cancer
kurt zouma,0,0,6.9,90,1035039,2023-08-12,0,zouma,,Cancer
nayef aguerd,0,0,6.9,90,1035039,2023-08-12,0,aguerd,,Cancer
emerson palmieri,0,0,7.2,90,1035039,2023-08-12,1,palmieri,,Cancer
tomáš souček,0,1,7.5,90,1035039,2023-08-12,1,souček,,Cancer
lucas paquetá,0,0,8.0,89,1035039,2023-08-12,1,paquetá,,Cancer
jarrod bowen,1,0,8.0,90,1035039,2023-08-12,1,bowen,,Cancer
pablo fornals,0,0,7.0,86,1035039,2023-08-12,1,fornals,,Cancer
saïd benrahma,0,0,7.2,90,1035039,2023-08-12,1,benrahma,,Cancer
michail antonio,0,0,6.6,78,1035039,2023-08-12,0,antonio,,Cancer
danny ings,0,0,6.7,12,1035039,2023-08-12,0,ings,,Cancer
thilo kehrer,0,0,6.7,11,1035039,2023-08-12,0,kehrer,,Cancer
maxwel cornet,0,0,0.0,1,1035039,2023-08-12,0,cornet,,Cancer
łukasz fabiański,0,0,0.0,0,1035039,2023-08-12,0,fabiański,,Cancer
joseph anang,0,0,0.0,0,1035039,2023-08-12,0,anang,,Cancer
ben johnson,0,0,0.0,0,1035039,2023-08-12,0,johnson,,Cancer
angelo ogbonna,0,0,0.0,0,1035039,2023-08-12,0,ogbonna,,Cancer
conor coventry,0,0,0.0,0,1035039,2023-08-12,0,coventry,,Cancer
divin mubama,0,0,0.0,0,1035039,2023-08-12,0,mubama,,Cancer
jordan pickford,0,0,6.6,90,1035041,2023-08-12,0,pickford,,Cancer
nathan patterson,0,0,6.3,90,1035041,2023-08-12,0,patterson,,Cancer
michael keane,0,0,7.2,90,1035041,2023-08-12,1,keane,,Cancer
james tarkowski,0,0,6.9,90,1035041,2023-08-12,0,tarkowski,,Cancer
ashley young,0,0,6.7,90,1035041,2023-08-12,0,young,,Cancer
james garner,0,0,7.2,83,1035041,2023-08-12,1,garner,,Cancer
idrissa gueye,0,0,7.2,90,1035041,2023-08-12,1,gueye,,Cancer
amadou onana,0,0,7.6,90,1035041,2023-08-12,1,onana,,Cancer
alex iwobi,0,0,7.7,90,1035041,2023-08-12,1,iwobi,,Cancer
abdoulaye doucouré,0,0,6.9,90,1035041,2023-08-12,0,doucouré,,Cancer
neal maupay,0,0,6.3,72,1035041,2023-08-12,0,maupay,,Cancer
arnaut danjuma,0,0,6.7,18,1035041,2023-08-12,0,danjuma,,Cancer
lewis dobbin,0,0,6.7,14,1035041,2023-08-12,0,dobbin,,Cancer
joão virgínia,0,0,0.0,0,1035041,2023-08-12,0,virgínia,,Cancer
ben godfrey,0,0,0.0,0,1035041,2023-08-12,0,godfrey,,Cancer
vitaliy mykolenko,0,0,0.0,0,1035041,2023-08-12,0,mykolenko,,Cancer
jarrad branthwaite,0,0,0.0,0,1035041,2023-08-12,0,branthwaite,,Cancer
tyler onyango,0,0,0.0,0,1035041,2023-08-12,0,onyango,,Cancer
andré gomes,0,0,0.0,0,1035041,2023-08-12,0,gomes,,Cancer
thomas cannon,0,0,0.0,0,1035041,2023-08-12,0,cannon,,Cancer
bernd leno,0,0,9.3,90,1035041,2023-08-12,1,leno,,Cancer
kenny tete,0,0,7.3,90,1035041,2023-08-12,1,tete,,Cancer
issa diop,0,0,7.5,90,1035041,2023-08-12,1,diop,,Cancer
tim ream,0,0,7.2,90,1035041,2023-08-12,1,ream,,Cancer
antonee robinson,0,0,7.2,90,1035041,2023-08-12,1,robinson,,Cancer
harrison reed,0,0,7.0,90,1035041,2023-08-12,1,reed,,Cancer
saša lukić,0,0,7.2,90,1035041,2023-08-12,1,lukić,,Cancer
tom cairney,0,0,6.7,58,1035041,2023-08-12,0,cairney,,Cancer
harry wilson,0,0,7.5,90,1035041,2023-08-12,1,wilson,,Cancer
raúl jiménez,0,0,6.6,58,1035041,2023-08-12,0,jiménez,,Cancer
willian,0,0,6.3,45,1035041,2023-08-12,0,willian,,Cancer
bobby decordova-reid,1,0,7.3,45,1035041,2023-08-12,1,decordova-reid,,Cancer
andreas pereira,0,0,6.9,32,1035041,2023-08-12,0,pereira,,Cancer
aleksandar mitrović,0,0,7.2,32,1035041,2023-08-12,1,mitrović,,Cancer
marek rodák,0,0,0.0,0,1035041,2023-08-12,0,rodák,,Cancer
calvin bassey,0,0,0.0,0,1035041,2023-08-12,0,bassey,,Cancer
kevin mbabu,0,0,0.0,0,1035041,2023-08-12,0,mbabu,,Cancer
matthew max dibley-dias,0,0,0.0,0,1035041,2023-08-12,0,dibley-dias,,Cancer
carlos vinícius,0,0,0.0,0,1035041,2023-08-12,0,vinícius,,Cancer
jay stansfield,0,0,0.0,0,1035041,2023-08-12,0,stansfield,,Cancer
jason steele,0,0,7.0,90,1035040,2023-08-12,1,steele,,Cancer
james milner,0,0,7.2,79,1035040,2023-08-12,1,milner,,Cancer
jan paul van hecke,0,0,7.2,90,1035040,2023-08-12,1,hecke,,Cancer
lewis dunk,0,0,6.7,90,1035040,2023-08-12,0,dunk,,Cancer
pervis estupiñán,0,1,8.5,90,1035040,2023-08-12,1,estupiñán,,Cancer
pascal groß,0,0,8.2,90,1035040,2023-08-12,1,groß,,Cancer
mahmoud dahoud,0,0,7.0,74,1035040,2023-08-12,1,dahoud,,Cancer
solly march,1,0,7.3,74,1035040,2023-08-12,1,march,,Cancer
joão pedro,1,0,7.9,88,1035040,2023-08-12,1,pedro,,Cancer
kaoru mitoma,0,1,8.2,90,1035040,2023-08-12,1,mitoma,,Cancer
danny welbeck,0,0,7.2,78,1035040,2023-08-12,1,welbeck,,Cancer
billy gilmour,0,0,6.6,16,1035040,2023-08-12,0,gilmour,,Cancer
simon adingra,1,0,7.3,16,1035040,2023-08-12,1,adingra,,Cancer
evan ferguson,1,0,7.7,12,1035040,2023-08-12,1,ferguson,,Cancer
joël veltman,0,0,6.3,11,1035040,2023-08-12,0,veltman,,Cancer
julio enciso,0,0,6.5,10,1035040,2023-08-12,0,enciso,,Cancer
bart verbruggen,0,0,0.0,0,1035040,2023-08-12,0,verbruggen,,Cancer
igor júlio,0,0,0.0,0,1035040,2023-08-12,0,júlio,,Cancer
steven alzate,0,0,0.0,0,1035040,2023-08-12,0,alzate,,Cancer
facundo buonanotte,0,0,0.0,0,1035040,2023-08-12,0,buonanotte,,Cancer
thomas kaminski,0,0,7.9,90,1035040,2023-08-12,1,kaminski,,Cancer
mads juel andersen,0,0,6.3,76,1035040,2023-08-12,0,andersen,,Cancer
tom lockyer,0,0,6.3,90,1035040,2023-08-12,0,lockyer,,Cancer
amari'i bell,0,0,6.2,90,1035040,2023-08-12,0,bell,,Cancer
issa kaboré,0,0,6.9,64,1035040,2023-08-12,0,kaboré,,Cancer
pelly ruddock mpanzu,0,0,5.9,88,1035040,2023-08-12,0,mpanzu,,Cancer
marvelous nakamba,0,0,6.3,90,1035040,2023-08-12,0,nakamba,,Cancer
tahith chong,0,0,6.2,88,1035040,2023-08-12,0,chong,,Cancer
ryan giles,0,0,6.6,90,1035040,2023-08-12,0,giles,,Cancer
carlton morris,1,0,7.9,90,1035040,2023-08-12,1,morris,,Cancer
elijah adebayo,0,0,6.5,64,1035040,2023-08-12,0,adebayo,,Cancer
alfie doughty,0,0,6.3,26,1035040,2023-08-12,0,doughty,,Cancer
jacob brown,0,0,6.9,26,1035040,2023-08-12,0,brown,,Cancer
chiedozie ogbene,0,0,6.7,14,1035040,2023-08-12,0,ogbene,,Cancer
luke berry,0,0,6.5,10,1035040,2023-08-12,0,berry,,Cancer
cauley woodrow,0,0,7.0,10,1035040,2023-08-12,1,woodrow,,Cancer
james shea,0,0,0.0,0,1035040,2023-08-12,0,shea,,Cancer
aidan francis-clarke,0,0,0.0,0,1035040,2023-08-12,0,francis-clarke,,Cancer
allan campbell,0,0,0.0,0,1035040,2023-08-12,0,campbell,,Cancer
john mcatee,0,0,0.0,0,1035040,2023-08-12,0,mcatee,,Cancer
wes foderingham,0,0,8.0,90,1035042,2023-08-12,1,foderingham,,Cancer
anel ahmedhodžić,0,0,6.9,90,1035042,2023-08-12,0,ahmedhodžić,,Cancer
john egan,0,0,6.9,90,1035042,2023-08-12,0,egan,,Cancer
jack robinson,0,0,6.6,80,1035042,2023-08-12,0,robinson,,Cancer
george baldock,0,0,6.7,90,1035042,2023-08-12,0,baldock,,Cancer
chris basham,0,0,6.6,80,1035042,2023-08-12,0,basham,,Cancer
oliver norwood,0,0,7.2,90,1035042,2023-08-12,1,norwood,,Cancer
ben osborn,0,0,6.7,87,1035042,2023-08-12,0,osborn,,Cancer
max lowe,0,0,7.2,80,1035042,2023-08-12,1,lowe,,Cancer
benie traore,0,0,6.2,87,1035042,2023-08-12,0,traore,,Cancer
william osula,0,0,6.2,90,1035042,2023-08-12,0,osula,,Cancer
yasser larouci,0,0,6.9,10,1035042,2023-08-12,0,larouci,,Cancer
anis ben slimane,0,0,6.5,10,1035042,2023-08-12,0,slimane,,Cancer
vinícius souza,0,0,6.7,10,1035042,2023-08-12,0,souza,,Cancer
andre brooks,0,0,6.7,9,1035042,2023-08-12,0,brooks,,Cancer
antwoine hackford,0,0,6.3,9,1035042,2023-08-12,0,hackford,,Cancer
adam davies,0,0,0.0,0,1035042,2023-08-12,0,davies,,Cancer
auston trusty,0,0,0.0,0,1035042,2023-08-12,0,trusty,,Cancer
femi seriki,0,0,0.0,0,1035042,2023-08-12,0,seriki,,Cancer
louie marsh,0,0,0.0,0,1035042,2023-08-12,0,marsh,,Cancer
sam johnstone,0,0,7.2,90,1035042,2023-08-12,1,johnstone,,Cancer
joel ward,0,0,6.9,90,1035042,2023-08-12,0,ward,,Cancer
joachim andersen,0,0,8.7,90,1035042,2023-08-12,1,andersen,,Cancer
marc guéhi,0,0,7.7,89,1035042,2023-08-12,1,guéhi,,Cancer
tyrick mitchell,0,0,7.2,90,1035042,2023-08-12,1,mitchell,,Cancer
jefferson lerma,0,0,7.6,90,1035042,2023-08-12,1,lerma,,Cancer
cheick doucouré,0,0,6.9,90,1035042,2023-08-12,0,doucouré,,Cancer
jordan ayew,0,1,7.3,90,1035042,2023-08-12,1,ayew,,Cancer
eberechi eze,0,0,8.5,90,1035042,2023-08-12,1,eze,,Cancer
jeffrey schlupp,0,0,7.2,90,1035042,2023-08-12,1,schlupp,,Cancer
odsonne édouard,1,0,8.0,90,1035042,2023-08-12,1,édouard,,Cancer
james tomkins,0,0,0.0,1,1035042,2023-08-12,0,tomkins,,Cancer
remi matthews,0,0,0.0,0,1035042,2023-08-12,0,matthews,,Cancer
nathaniel clyne,0,0,0.0,0,1035042,2023-08-12,0,clyne,,Cancer
chris richards,0,0,0.0,0,1035042,2023-08-12,0,richards,,Cancer
jaïro riedewald,0,0,0.0,0,1035042,2023-08-12,0,riedewald,,Cancer
naouirou ahamada,0,0,0.0,0,1035042,2023-08-12,0,ahamada,,Cancer
john-kymani gordon,0,0,0.0,0,1035042,2023-08-12,0,gordon,,Cancer
jesurun rak-sakyi,0,0,0.0,0,1035042,2023-08-12,0,rak-sakyi,,Cancer
jean-philippe mateta,0,0,0.0,0,1035042,2023-08-12,0,mateta,,Cancer
nick pope,0,0,7.2,90,1035043,2023-08-12,1,pope,,Cancer
kieran trippier,0,0,7.7,90,1035043,2023-08-12,1,trippier,,Cancer
fabian schär,0,0,6.9,90,1035043,2023-08-12,0,schär,,Cancer
sven botman,0,1,7.5,90,1035043,2023-08-12,1,botman,,Cancer
dan burn,0,0,7.0,90,1035043,2023-08-12,1,burn,,Cancer
sandro tonali,1,0,7.3,89,1035043,2023-08-12,1,tonali,,Cancer
bruno guimarães,0,0,6.6,85,1035043,2023-08-12,0,guimarães,,Cancer
joelinton,0,0,7.0,90,1035043,2023-08-12,1,joelinton,,Cancer
miguel almirón,0,0,7.5,86,1035043,2023-08-12,1,almirón,,Cancer
alexander isak,2,0,8.0,68,1035043,2023-08-12,1,isak,,Cancer
anthony gordon,0,1,7.6,68,1035043,2023-08-12,1,gordon,,Cancer
harvey barnes,1,1,8.3,22,1035043,2023-08-12,1,barnes,,Cancer
callum wilson,1,0,7.3,22,1035043,2023-08-12,1,wilson,,Cancer
sean longstaff,0,0,6.3,12,1035043,2023-08-12,0,longstaff,,Cancer
jacob murphy,0,1,7.9,11,1035043,2023-08-12,1,murphy,,Cancer
elliot anderson,0,0,0.0,1,1035043,2023-08-12,0,anderson,,Cancer
martin dúbravka,0,0,0.0,0,1035043,2023-08-12,0,dúbravka,,Cancer
valentino livramento,0,0,0.0,0,1035043,2023-08-12,0,livramento,,Cancer
jamaal lascelles,0,0,0.0,0,1035043,2023-08-12,0,lascelles,,Cancer
matt targett,0,0,0.0,0,1035043,2023-08-12,0,targett,,Cancer
emiliano martínez,0,0,7.7,90,1035043,2023-08-12,1,martínez,,Cancer
matty cash,0,0,6.2,87,1035043,2023-08-12,0,cash,,Cancer
ezri konsa,0,0,6.0,90,1035043,2023-08-12,0,konsa,,Cancer
tyrone mings,0,0,6.7,31,1035043,2023-08-12,0,mings,,Cancer
lucas digne,0,0,6.3,90,1035043,2023-08-12,0,digne,,Cancer
boubacar kamara,0,0,6.3,90,1035043,2023-08-12,0,kamara,,Cancer
douglas luiz,0,0,7.2,90,1035043,2023-08-12,1,luiz,,Cancer
leon bailey,0,0,6.3,45,1035043,2023-08-12,0,bailey,,Cancer
moussa diaby,1,0,7.2,87,1035043,2023-08-12,1,diaby,,Cancer
john mcginn,0,0,6.2,64,1035043,2023-08-12,0,mcginn,,Cancer
ollie watkins,0,1,7.9,90,1035043,2023-08-12,1,watkins,,Cancer
pau torres,0,0,6.7,59,1035043,2023-08-12,0,torres,,Cancer
youri tielemans,0,0,6.5,45,1035043,2023-08-12,0,tielemans,,Cancer
diego carlos,0,0,6.9,26,1035043,2023-08-12,0,carlos,,Cancer
philippe coutinho,0,0,6.6,10,1035043,2023-08-12,0,coutinho,,Cancer
jaden philogene-bidace,0,0,6.5,10,1035043,2023-08-12,0,philogene-bidace,,Cancer
robin olsen,0,0,0.0,0,1035043,2023-08-12,0,olsen,,Cancer
calum chambers,0,0,0.0,0,1035043,2023-08-12,0,chambers,,Cancer
cameron archer,0,0,0.0,0,1035043,2023-08-12,0,archer,,Cancer
omari kellyman,0,0,0.0,0,1035043,2023-08-12,0,kellyman,,Cancer
mark flekken,0,0,7.2,90,1035044,2023-08-13,1,flekken,,Cancer
aaron hickey,0,0,6.6,72,1035044,2023-08-13,0,hickey,,Cancer
nathan collins,0,0,6.9,90,1035044,2023-08-13,0,collins,,Cancer
ethan pinnock,0,0,6.9,90,1035044,2023-08-13,0,pinnock,,Cancer
kristoffer ajer,0,0,6.3,84,1035044,2023-08-13,0,ajer,,Cancer
rico henry,0,1,7.5,90,1035044,2023-08-13,1,henry,,Cancer
mathias jensen,0,0,6.7,49,1035044,2023-08-13,0,jensen,,Cancer
christian nørgaard,0,0,6.2,72,1035044,2023-08-13,0,nørgaard,,Cancer
vitaly janelt,0,0,6.6,90,1035044,2023-08-13,0,janelt,,Cancer
bryan mbeumo,1,0,6.6,90,1035044,2023-08-13,1,mbeumo,,Cancer
yoane wissa,1,0,7.9,72,1035044,2023-08-13,1,wissa,,Cancer
mikkel damsgaard,0,0,6.9,41,1035044,2023-08-13,0,damsgaard,,Cancer
mads roerslev,0,0,6.3,18,1035044,2023-08-13,0,roerslev,,Cancer
shandon baptiste,0,0,6.7,18,1035044,2023-08-13,0,baptiste,,Cancer
kevin schade,0,0,6.3,18,1035044,2023-08-13,0,schade,,Cancer
zanka,0,0,7.5,11,1035044,2023-08-13,1,zanka,,Cancer
thomas strakosha,0,0,0.0,0,1035044,2023-08-13,0,strakosha,,Cancer
joshua dasilva,0,0,0.0,0,1035044,2023-08-13,0,dasilva,,Cancer
yehor yarmoliuk,0,0,0.0,0,1035044,2023-08-13,0,yarmoliuk,,Cancer
keane lewis-potter,0,0,0.0,0,1035044,2023-08-13,0,lewis-potter,,Cancer
guglielmo vicario,0,0,7.2,90,1035044,2023-08-13,1,vicario,,Cancer
emerson royal,1,0,7.7,90,1035044,2023-08-13,1,royal,,Cancer
cristian romero,1,0,7.3,14,1035044,2023-08-13,1,romero,,Cancer
micky van de ven,0,0,7.2,90,1035044,2023-08-13,1,ven,,Cancer
destiny udogie,0,0,7.3,90,1035044,2023-08-13,1,udogie,,Cancer
oliver skipp,0,0,6.3,75,1035044,2023-08-13,0,skipp,,Cancer
yves bissouma,0,0,8.0,90,1035044,2023-08-13,1,bissouma,,Cancer
dejan kulusevski,0,0,7.2,90,1035044,2023-08-13,1,kulusevski,,Cancer
james maddison,0,2,8.3,90,1035044,2023-08-13,1,maddison,,Cancer
heung-min son,0,0,6.6,75,1035044,2023-08-13,0,son,,Cancer
richarlison,0,0,6.7,90,1035044,2023-08-13,0,richarlison,,Cancer
davinson sánchez,0,0,7.0,76,1035044,2023-08-13,1,sánchez,,Cancer
ivan perišić,0,0,7.2,15,1035044,2023-08-13,1,perišić,,Cancer
pape matar sarr,0,0,7.2,15,1035044,2023-08-13,1,sarr,,Cancer
brandon austin,0,0,0.0,0,1035044,2023-08-13,0,austin,,Cancer
ben davies,0,0,0.0,0,1035044,2023-08-13,0,davies,,Cancer
pedro porro,0,0,0.0,0,1035044,2023-08-13,0,porro,,Cancer
pierre-emile højbjerg,0,0,0.0,0,1035044,2023-08-13,0,højbjerg,,Cancer
giovani lo celso,0,0,0.0,0,1035044,2023-08-13,0,celso,,Cancer
manor solomon,0,0,0.0,0,1035044,2023-08-13,0,solomon,,Cancer
robert sánchez,0,0,6.9,90,1035045,2023-08-13,0,sánchez,,Cancer
axel disasi,1,0,7.7,90,1035045,2023-08-13,1,disasi,,Cancer
thiago silva,0,0,7.3,90,1035045,2023-08-13,1,silva,,Cancer
levi colwill,0,0,7.2,90,1035045,2023-08-13,1,colwill,,Cancer
reece james,0,0,7.5,76,1035045,2023-08-13,1,james,,Cancer
enzo fernández,0,0,8.2,90,1035045,2023-08-13,1,fernández,,Cancer
conor gallagher,0,0,7.2,90,1035045,2023-08-13,1,gallagher,,Cancer
ben chilwell,0,1,7.5,89,1035045,2023-08-13,1,chilwell,,Cancer
raheem sterling,0,0,6.6,81,1035045,2023-08-13,0,sterling,,Cancer
carney chukwuemeka,0,0,6.3,81,1035045,2023-08-13,0,chukwuemeka,,Cancer
nicolas jackson,0,0,6.2,90,1035045,2023-08-13,0,jackson,,Cancer
malo gusto,0,0,6.6,14,1035045,2023-08-13,0,gusto,,Cancer
ian maatsen,0,0,6.9,9,1035045,2023-08-13,0,maatsen,,Cancer
mykhaylo mudryk,0,0,6.9,9,1035045,2023-08-13,0,mudryk,,Cancer
lesley ugochukwu,0,0,0.0,1,1035045,2023-08-13,0,ugochukwu,,Cancer
lucas bergström,0,0,0.0,0,1035045,2023-08-13,0,bergström,,Cancer
marc cucurella,0,0,0.0,0,1035045,2023-08-13,0,cucurella,,Cancer
andrey santos,0,0,0.0,0,1035045,2023-08-13,0,santos,,Cancer
mason burstow,0,0,0.0,0,1035045,2023-08-13,0,burstow,,Cancer
noni madueke,0,0,0.0,0,1035045,2023-08-13,0,madueke,,Cancer
alisson,0,0,7.3,90,1035045,2023-08-13,1,alisson,,Cancer
trent alexander-arnold,0,0,6.3,90,1035045,2023-08-13,0,alexander-arnold,,Cancer
ibrahima konaté,0,0,7.0,90,1035045,2023-08-13,1,konaté,,Cancer
virgil van dijk,0,0,7.2,90,1035045,2023-08-13,1,dijk,,Cancer
andrew robertson,0,0,7.2,90,1035045,2023-08-13,1,robertson,,Cancer
dominik szoboszlai,0,0,7.0,90,1035045,2023-08-13,1,szoboszlai,,Cancer
